"","purpose","month","Akershus","Aust-Agder","Buskerud","Finnmark - Finnmárku","Hedmark","Hordaland","Møre og Romsdal","Nordland","Oppland","Oslo","Rogaland","Sogn og Fjordane","Svalbard","Telemark","Troms - Romsa","Vest-Agder","Vestfold","Østfold","Trondelag","Norge"
"40","Ferie, fritid",1989-04-01,3210,11130,72976,2842,11218,29834,6355,5835,56731,24367,11219,7898,0,21418,4018,5152,3904,1434,22556,302097
"41","Ferie, fritid",1989-05-01,5653,6226,24786,4222,7025,46002,9743,5846,24835,28511,8747,23661,0,14222,3635,7322,4797,3166,22571,250970
"42","Ferie, fritid",1989-06-01,11396,16418,67731,30805,24418,98764,33457,32341,101936,52604,16067,62702,0,43459,15466,20948,14691,6928,55388,705519
"43","Ferie, fritid",1989-07-01,35140,47009,153343,60651,56653,151135,51706,71301,238727,86708,25125,109255,0,72484,31812,56309,31672,14784,99614,1393428
"44","Ferie, fritid",1989-08-01,23599,19631,101928,26375,26574,132069,37529,34823,183240,91980,16536,83689,0,48096,15234,21583,11948,9211,58041,942086
"45","Ferie, fritid",1989-09-01,15290,10559,55515,5987,22687,48163,13155,7768,100421,39878,10092,20930,0,33673,5207,7984,3601,3984,27975,432869
"46","Ferie, fritid",1989-10-01,5381,4400,32760,2018,11908,20019,7638,4136,29111,26271,11617,6730,0,20757,2852,4989,2799,1383,21845,216614
"47","Ferie, fritid",1989-11-01,3576,2814,26020,1887,8166,18059,6026,5039,32735,23228,5726,6299,0,14400,2467,5249,2149,2522,26206,192568
"48","Ferie, fritid",1989-12-01,4383,8901,59713,2527,18354,21138,6796,6408,64730,20788,5790,7348,0,27366,4049,3852,4195,1431,21180,288949
"49","Ferie, fritid",1990-01-01,4221,16359,74846,1497,23917,16090,3216,4533,83615,15363,5303,3274,0,33963,2513,4448,2766,1055,14043,311022
"50","Ferie, fritid",1990-02-01,6280,25846,131363,2124,34672,20026,4493,3952,145906,23484,6966,5625,0,49809,3054,7520,3313,1546,23455,499434
"51","Ferie, fritid",1990-03-01,8604,27670,148988,1432,36006,32520,9478,7696,142607,27260,7355,6630,0,44339,3791,8412,3610,1393,28339,546130
"52","Ferie, fritid",1990-04-01,8850,17603,105940,4153,20546,35514,7004,6016,109725,21511,7935,9816,0,28381,3987,6757,3554,1968,29179,428439
