"","purpose","month","Akershus","Aust-Agder","Buskerud","Finnmark - Finnmárku","Hedmark","Hordaland","Møre og Romsdal","Nordland","Oppland","Oslo","Rogaland","Sogn og Fjordane","Svalbard","Telemark","Troms - Romsa","Vest-Agder","Vestfold","Østfold","Trondelag","Norge"
"325","Ferie, fritid",2013-01-01,34962,4851,73516,6853,32950,37055,10851,12523,41971,87102,23535,5722,0,15064,22968,9992,10669,5948,33088,469620
"326","Ferie, fritid",2013-02-01,35125,8614,104182,11045,45371,48089,12046,17089,91547,92599,26203,8289,0,29146,34923,14690,11596,8442,48814,647810
"327","Ferie, fritid",2013-03-01,30644,9398,109096,10826,48182,61136,14470,20304,106488,107697,28091,11641,7198,30267,28588,15506,12776,8885,51457,712650
"328","Ferie, fritid",2013-04-01,37108,3391,74399,8979,19498,53660,17971,19078,40524,115417,35565,10101,7456,13425,20320,9552,15325,8172,45594,555535
"329","Ferie, fritid",2013-05-01,54169,4702,33009,12167,11134,83484,27485,21949,37274,137486,41357,37904,5669,16931,23808,15081,17277,10761,55043,646690
"330","Ferie, fritid",2013-06-01,86362,11160,71833,41685,29075,132255,51118,75341,88102,172854,55340,75243,6921,30240,43507,28325,27648,17871,80935,1125815
"331","Ferie, fritid",2013-07-01,113827,30714,111124,51898,33059,192550,83179,109471,178604,250496,82424,106653,9229,55737,61488,73977,44603,29146,128771,1746950
"332","Ferie, fritid",2013-08-01,89583,12234,93915,31307,26641,165567,69555,65829,123155,223724,64355,87705,7827,40464,40334,31293,28207,17325,101707,1320727
"333","Ferie, fritid",2013-09-01,49457,4967,53118,12190,17157,86495,26889,24263,62697,140554,43169,30097,3315,21949,23974,14457,15134,10464,54381,694727
"334","Ferie, fritid",2013-10-01,43475,2893,38577,8699,12691,62987,19901,18057,31415,124601,33448,14761,3277,15193,23339,11079,15400,9701,57706,547200
"335","Ferie, fritid",2013-11-01,39235,3533,37998,6809,8554,58792,21257,18379,33537,118455,36125,10848,1666,10839,29727,10638,15274,9923,54359,525948
"336","Ferie, fritid",2013-12-01,28838,3354,58910,6272,21289,42313,11915,13815,45708,92393,22289,6864,2554,13259,31018,7033,9657,7547,34354,459382
"337","Ferie, fritid",2014-01-01,30223,4979,53054,5669,35853,37436,11138,11935,40756,93886,22180,4692,1780,16259,35199,7644,10540,5820,33832,462875
"338","Ferie, fritid",2014-02-01,30078,7011,96289,8469,53358,48087,13771,17135,86847,105588,25638,9994,4369,25285,39842,14174,12409,8108,44107,650559
"339","Ferie, fritid",2014-03-01,35158,6243,71056,10482,39132,56813,16331,22329,65866,131302,30725,7294,9027,24350,35167,12150,14770,8545,48402,645142
"340","Ferie, fritid",2014-04-01,34553,6434,69566,7592,28103,66735,16271,16091,52810,107715,30474,13700,9135,16757,19724,12187,15316,10275,41528,574966
"341","Ferie, fritid",2014-05-01,54911,5418,37226,13335,10972,98556,36977,27588,36338,163078,44536,38770,7239,16394,26489,15608,18329,10293,55109,717166
"342","Ferie, fritid",2014-06-01,90147,9195,72997,38297,29783,142912,64764,74409,80619,192354,57224,79317,8419,27592,48754,30729,23621,18987,79878,1169998
"343","Ferie, fritid",2014-07-01,117991,29812,114933,50972,35854,214328,96438,118185,169494,268582,88191,110737,11859,58472,69549,74445,43692,25823,141450,1840807
"344","Ferie, fritid",2014-08-01,84933,13136,102205,30353,26979,192894,78354,72837,120597,248774,69065,90273,9954,38990,52568,31141,26314,19202,93577,1402146
"345","Ferie, fritid",2014-09-01,58551,6659,56244,12199,16684,98993,31429,24425,67953,152098,44907,32937,4899,21757,27762,14937,16615,11651,58439,759139
"346","Ferie, fritid",2014-10-01,34156,4571,42167,6918,18463,71571,22149,19392,33529,139179,41308,14755,4215,15289,28063,13500,11027,10120,56990,587362
"347","Ferie, fritid",2014-11-01,34167,2951,32588,6510,15286,61192,20181,22004,33814,128697,39494,10422,2071,10143,35156,10064,14010,9208,55507,543465
"348","Ferie, fritid",2014-12-01,28180,4100,68404,5961,26197,48544,14203,15488,54161,107592,26300,8959,2819,12986,37507,6554,9921,7756,39631,525263
"349","Ferie, fritid",2015-01-01,30511,4797,62983,6337,36217,46832,15572,17988,48497,116401,32231,6479,3094,16407,41830,7545,9489,7477,40795,551482
"350","Ferie, fritid",2015-02-01,43940,9254,101532,10820,46889,58578,16487,25082,96517,119796,30765,10884,6573,26621,50889,11019,15726,10211,49910,741493
"351","Ferie, fritid",2015-03-01,46241,8318,75156,11095,43100,62128,19877,28740,80648,127710,33914,10966,8626,22477,40352,15019,12551,8915,53640,709473
"352","Ferie, fritid",2015-04-01,35140,6027,67593,7199,25653,69634,21911,21639,55177,128449,32747,15369,11613,15684,24252,14006,18326,11463,46740,628622
"353","Ferie, fritid",2015-05-01,65174,6800,45478,14121,13812,115777,38158,33618,41759,185898,53349,44811,7952,16261,31684,20108,19518,15648,56632,826558
"354","Ferie, fritid",2015-06-01,106810,10607,79455,42295,27063,177357,66884,79577,88579,217348,70074,85811,8308,27514,61175,35777,29337,20535,94413,1328919
"355","Ferie, fritid",2015-07-01,157124,35965,134787,54001,36833,256628,110740,131016,171987,350275,109660,126295,11221,65151,81128,95336,51635,34080,157892,2171754
"356","Ferie, fritid",2015-08-01,119296,14652,99452,30533,33193,228523,85722,81618,132603,297596,88233,108727,9487,39395,59277,38118,26640,20404,107490,1620959
"357","Ferie, fritid",2015-09-01,76867,6750,64352,14866,23476,117828,37234,28498,69614,182233,43034,42288,6012,21185,34099,21127,17314,14143,57076,877996
"358","Ferie, fritid",2015-10-01,53446,5335,49021,8045,18853,75643,24037,21640,31003,167083,42228,19528,3594,16730,34917,19855,13882,11825,57475,674140
"359","Ferie, fritid",2015-11-01,37248,3299,42664,7118,15371,53189,21615,19700,28191,132661,32018,8293,2032,7875,32800,11954,12588,10069,49201,527886
"360","Ferie, fritid",2015-12-01,30774,4518,60482,7532,27057,39663,12597,15546,42599,116347,21354,7669,2952,11839,39570,9659,9889,9435,39836,509318
"361","Ferie, fritid",2016-01-01,36262,4098,47500,6695,26468,44309,12505,15413,40403,120687,26595,6099,3986,9041,37856,8665,11525,6863,40268,505238
"362","Ferie, fritid",2016-02-01,41164,9039,74252,10178,56213,60838,18190,23126,91590,144105,25383,8964,7553,22241,56303,11967,18359,9852,56344,745661
"363","Ferie, fritid",2016-03-01,29808,9321,107246,10887,60098,70748,16792,24605,105900,148941,27198,12539,8750,23977,39513,16004,19762,11329,53260,796678
"364","Ferie, fritid",2016-04-01,35825,5293,52636,9991,24313,67521,22168,28295,40352,145921,37038,17619,10263,11757,28215,11018,14348,12056,55503,630132
"365","Ferie, fritid",2016-05-01,67200,5732,44840,13655,14235,108213,34688,30516,42796,170843,48830,43505,6232,14942,29294,16656,13562,16658,47685,770082
"366","Ferie, fritid",2016-06-01,102617,13008,88081,44663,28623,184674,76752,82059,96030,266049,71282,85115,8604,26841,64112,36446,27198,21026,105291,1428471
"367","Ferie, fritid",2016-07-01,145605,31524,149123,61873,47766,271821,116528,149179,195553,379422,115658,125600,11358,64194,91303,89718,57021,35222,174318,2312786
"368","Ferie, fritid",2016-08-01,117385,15465,108864,30723,37442,232242,97274,88712,150961,336020,95574,111698,8845,38143,65115,42675,31285,23709,115406,1747538
"369","Ferie, fritid",2016-09-01,68997,8074,68476,14461,26689,125060,38324,37851,73152,207619,53107,47413,4839,21485,34332,18660,15725,14584,71407,950255
"370","Ferie, fritid",2016-10-01,44279,5340,59474,8710,20497,76804,28274,29664,34742,195102,44152,20212,4715,16457,35347,18587,13576,13406,70655,739993
"371","Ferie, fritid",2016-11-01,34354,3316,41693,8026,19087,61879,20463,28713,34040,159744,36951,10604,3866,9373,43682,10863,10322,11874,63875,612725
"372","Ferie, fritid",2016-12-01,26339,4362,61353,10964,27654,54802,13146,22842,53953,151478,26859,8578,5501,11467,62003,9064,10482,9919,51077,621843
"373","Ferie, fritid",2017-01-01,30288,2708,46451,10055,39405,42028,10449,21744,42408,125784,20311,5749,6480,14018,53962,8608,8195,6788,33290,528721
"374","Ferie, fritid",2017-02-01,35384,6443,90379,15433,52335,63049,16608,27761,96530,141733,24993,11081,9217,22826,61753,10517,11547,10585,46360,754534
"375","Ferie, fritid",2017-03-01,35814,4657,70334,17675,53477,67072,18819,26487,85489,166493,30013,7001,10844,20955,57912,11804,10704,10733,46114,752397
"376","Ferie, fritid",2017-04-01,30783,7192,77604,11884,36234,80037,20661,21799,68101,158783,29001,17990,14561,15236,24634,13923,15285,13789,45139,702636
"377","Ferie, fritid",2017-05-01,69353,7324,52269,17682,17119,122361,34241,32203,40350,182572,41260,46998,9199,15054,29497,15318,13892,11505,52421,810618
"378","Ferie, fritid",2017-06-01,103577,14132,100571,48115,29152,203717,77114,82397,89986,259171,79983,80735,8724,28695,60492,39511,21558,20252,96604,1444486
"379","Ferie, fritid",2017-07-01,137292,32315,148842,61700,44339,298000,117035,134405,180219,381774,119492,123601,13952,67592,79310,79034,56891,33771,175087,2284651
"380","Ferie, fritid",2017-08-01,113578,15583,115741,39371,36980,272497,92340,87875,143714,335368,84590,110196,12318,41152,58005,43969,22997,22085,107330,1755689
"381","Ferie, fritid",2017-09-01,57613,7498,66232,15582,28256,141009,38940,33425,77602,226152,46968,45656,6592,26542,34652,17990,15658,14805,63346,964518
"382","Ferie, fritid",2017-10-01,42141,5728,51568,10193,21336,87676,22341,25091,38636,187250,31664,20260,6506,14705,38728,16991,12648,12836,45684,691982
"383","Ferie, fritid",2017-11-01,34925,2933,38643,9172,18872,64629,19476,24169,33510,161965,32323,9329,4031,9287,40410,16095,12059,12119,44508,588455
"384","Ferie, fritid",2017-12-01,28114,3713,58846,13939,31657,65185,13335,20947,50666,157672,22031,8362,5276,13136,56576,10151,9043,8616,44244,621509
"385","Ferie, fritid",2018-01-01,33405,4284,52886,13462,46024,53928,10358,18396,48225,136519,24392,6247,5751,13333,60083,10841,6884,8044,31573,584635
"386","Ferie, fritid",2018-02-01,47988,5193,68590,15148,51790,72304,19090,27575,92444,166401,27661,10201,6734,21248,63470,12007,9392,10070,51591,778897
"387","Ferie, fritid",2018-03-01,40677,7026,95653,17167,60506,86383,17683,29468,107350,176300,33489,12267,10902,26166,56238,18661,11519,12450,51399,871304
"388","Ferie, fritid",2018-04-01,42936,6346,54153,13917,18906,89994,23193,22037,38120,162957,34277,16563,10334,14420,30312,16077,11993,13088,46386,666009
"389","Ferie, fritid",2018-05-01,69289,7135,54013,16023,13856,145840,37411,35280,42750,216210,48648,53869,8745,19257,33869,36967,15464,14770,54207,923603
"390","Ferie, fritid",2018-06-01,117204,13920,74942,44736,32694,234609,80699,86923,105080,265398,67471,90280,9939,30662,58335,54435,21435,21489,91933,1502184
"391","Kurs, konferanse",1986-01-01,12134,1124,31757,2105,3441,10294,2859,4562,38175,10593,2572,2016,0,5985,3281,3066,7913,3025,11514,156416
"392","Kurs, konferanse",1986-02-01,13618,1103,34799,2934,5060,13731,5064,9678,30292,12081,4668,4330,0,7701,4311,3577,7468,1808,12188,174411
"393","Kurs, konferanse",1986-03-01,9536,995,23387,3156,6295,12506,7107,9209,27789,10037,4804,5959,0,8866,3327,3316,7497,3591,11955,159332
"394","Kurs, konferanse",1986-04-01,12607,1987,29312,3634,4774,17864,6177,9997,26219,15096,5810,6474,0,9823,6013,5253,6479,4183,13360,185062
"395","Kurs, konferanse",1986-05-01,8616,1737,18565,3215,3982,16185,7573,9434,14163,29033,9956,8436,0,6552,5409,4645,5992,4000,10986,168479
"396","Kurs, konferanse",1986-06-01,7296,5003,22384,5938,5537,14077,6477,7105,19946,9588,14582,5551,0,7316,4389,5774,9918,3509,12235,166625
"397","Kurs, konferanse",1986-07-01,2846,251,2627,246,6075,5016,1652,1470,4147,2758,4461,524,0,551,245,1598,5208,1590,2808,44073
"398","Kurs, konferanse",1986-08-01,7566,1732,13071,2992,5006,14920,4084,4091,16496,5328,3726,3685,0,6233,2281,2566,10952,7622,11642,123993
"399","Kurs, konferanse",1986-09-01,12713,2053,38312,4495,6546,26067,8628,9664,33397,19754,7396,11801,0,13046,6305,3309,9900,5352,18217,236955
"400","Kurs, konferanse",1986-10-01,14729,4071,36696,6141,9069,23886,8297,11279,33958,13428,8390,7314,0,15428,7533,5276,11901,4763,16628,238787
"401","Kurs, konferanse",1986-11-01,14134,3451,37433,5092,9943,19026,7772,12400,39822,11779,6802,8879,0,16013,6491,4005,12187,5144,15311,235684
"402","Kurs, konferanse",1986-12-01,6993,957,14980,1264,6425,4291,1461,2069,9174,5665,1747,2402,0,6055,2307,926,4548,2172,3440,76876
"403","Kurs, konferanse",1987-01-01,10482,1568,25921,2475,5581,12444,3517,7674,32355,6863,2704,3724,0,12183,3199,1867,7070,3197,9806,152630
"404","Kurs, konferanse",1987-02-01,11593,3667,28596,4903,6487,18269,5081,9961,30548,12683,4668,7974,0,9208,4975,3244,10728,3255,14903,190743
"405","Kurs, konferanse",1987-03-01,14531,2732,34651,5004,7309,17941,8231,13531,30064,13403,6739,9324,0,14787,7538,3793,12728,5937,17096,225339
"406","Kurs, konferanse",1987-04-01,8280,2363,20942,4132,5310,14778,6060,7466,19738,10064,6048,5421,0,7824,5009,2561,9807,3484,12472,151759
"407","Kurs, konferanse",1987-05-01,12761,1537,21602,4191,4767,18592,9320,10953,20330,16356,11437,9814,0,8041,9491,2335,10827,5399,11630,189383
"408","Kurs, konferanse",1987-06-01,8942,2360,13746,4264,6485,11211,6300,6198,15395,12992,8478,7412,0,8057,7277,1527,11153,4881,15900,152578
"409","Kurs, konferanse",1987-07-01,1202,6611,455,2888,775,2144,2068,2200,3275,3035,1384,4481,0,2210,823,162,4609,792,2392,41506
"410","Kurs, konferanse",1987-08-01,8537,548,10708,3213,5620,9090,4014,5058,16361,10418,6617,5261,0,9848,2689,3354,10819,4497,8259,124911
"411","Kurs, konferanse",1987-09-01,13563,1699,29776,5740,6706,16655,6464,10115,30192,13155,8257,14948,0,11613,6102,4523,13485,5837,15301,214131
"412","Kurs, konferanse",1987-10-01,16453,2620,34417,4134,11802,23476,10230,13809,33154,14025,8236,8118,0,13469,7087,4295,15148,6341,16934,243748
"413","Kurs, konferanse",1987-11-01,15319,3462,33284,3733,11375,19522,6702,11539,30234,13751,7675,7454,0,18175,7043,4302,14702,5765,13030,227067
"414","Kurs, konferanse",1987-12-01,6167,337,11714,970,2898,8408,1487,2934,12543,7004,2977,2131,0,6715,2127,1026,4660,1719,5441,81258
"415","Kurs, konferanse",1988-01-01,10205,1106,23589,2204,5694,11934,2976,7614,38208,10517,4529,5431,0,7626,4104,2847,10090,2643,12135,163452
"416","Kurs, konferanse",1988-02-01,13034,1059,28670,2814,6310,20025,4166,12013,35265,10935,4992,6784,0,9258,5602,2337,9556,3383,14276,190479
"417","Kurs, konferanse",1988-03-01,12771,1365,27804,4185,8186,14353,5480,14009,31840,20215,7661,8591,0,10649,5122,3821,11260,4920,14512,206744
"418","Kurs, konferanse",1988-04-01,12797,1833,27357,4310,8200,16129,6974,10159,33145,16251,7553,7952,0,10005,5768,5283,9149,3583,12504,198952
"419","Kurs, konferanse",1988-05-01,13353,1979,15281,4173,5491,13919,5902,7263,12728,15224,10257,9835,0,6090,8374,2915,6455,2960,11031,153230
"420","Kurs, konferanse",1988-06-01,12928,2049,16605,4978,8683,14002,6558,10256,19799,17430,4628,8550,0,9824,9934,4420,11067,4517,12973,179201
"421","Kurs, konferanse",1988-07-01,981,468,1278,16,5320,2667,1839,1924,4540,10989,604,2414,0,1600,620,625,4234,203,2534,42856
"422","Kurs, konferanse",1988-08-01,6795,991,10579,3268,3301,8036,3707,3588,17823,16756,6690,3519,0,4159,1634,3402,10179,3259,15027,122713
"423","Kurs, konferanse",1988-09-01,16432,1857,28665,5282,9234,16620,7878,9720,32777,20144,6532,11391,0,11130,4944,5367,12625,4845,14079,219522
"424","Kurs, konferanse",1988-10-01,18300,2234,30521,4116,10389,18996,8879,11532,35255,19562,7809,8107,0,11521,7539,5238,11811,5358,19021,236188
"425","Kurs, konferanse",1988-11-01,16023,1817,26033,3799,13712,17671,6928,11601,32751,14479,10572,7287,0,12922,5772,5275,10901,3366,13921,214830
"426","Kurs, konferanse",1988-12-01,7492,748,8196,1522,3260,3135,2118,3402,9293,11113,2291,2251,0,4281,1541,1427,3029,1751,4687,71537
"427","Kurs, konferanse",1989-01-01,13346,1565,25319,1455,8265,8358,4189,6907,31549,13228,4263,3034,0,10322,3925,2434,6511,2452,10475,157597
"428","Kurs, konferanse",1989-02-01,13729,1461,20555,4516,9084,11502,5225,11527,24934,12464,6060,5623,0,5099,4802,3125,6776,2572,9594,158648
"429","Kurs, konferanse",1989-03-01,10762,1550,20823,3859,7783,13519,5515,6949,21728,12501,6803,6851,0,7909,3544,3576,7213,3350,13520,157755
"430","Kurs, konferanse",1989-04-01,16883,1785,31744,5234,12302,16763,6187,11700,32216,24031,10581,9029,0,13729,6671,6482,10649,4683,18899,239568
"431","Kurs, konferanse",1989-05-01,11563,1627,14328,2604,5991,10655,3310,7275,13805,19286,5529,7678,0,7720,5190,4420,7709,4717,7360,140767
"432","Kurs, konferanse",1989-06-01,13914,1241,12358,6694,9712,12321,4860,6701,15587,23768,8661,9113,0,6518,5822,5366,9755,5054,13575,171020
"433","Kurs, konferanse",1989-07-01,5856,708,2260,2755,1101,725,38,488,2689,11154,3301,595,0,2622,1449,650,3473,2736,3328,45928
"434","Kurs, konferanse",1989-08-01,12038,1171,9165,4585,12705,7622,1907,2617,12302,10569,7197,4421,0,5739,2641,3264,9987,4572,14368,126870
"435","Kurs, konferanse",1989-09-01,13244,1315,28813,5252,5749,13788,6894,8129,28038,20085,7359,10886,0,11505,7611,6371,11584,4681,15407,206711
"436","Kurs, konferanse",1989-10-01,18968,1388,29576,3682,7195,18269,7046,10871,31685,17726,9091,10817,0,11568,8420,7754,11764,6459,19673,231952
"437","Kurs, konferanse",1989-11-01,20469,2135,30483,4116,11145,16518,6965,11614,32907,16233,10302,8281,0,10966,8686,6551,10706,5767,17397,231241
"438","Kurs, konferanse",1989-12-01,7091,655,9267,1338,3691,4456,2123,3072,9117,8546,3453,1953,0,4076,2523,910,2730,2251,5182,72434
"439","Kurs, konferanse",1990-01-01,14144,897,24248,1983,5686,10950,3745,6692,27036,10698,5114,4108,0,6148,4372,1804,6944,2068,14475,151112
"440","Kurs, konferanse",1990-02-01,15315,1280,26520,3182,8677,14503,4235,9806,23312,11600,5967,5342,0,5921,5151,2817,6331,1771,14405,166135
"441","Kurs, konferanse",1990-03-01,21608,1643,29749,6890,11463,15393,7378,13692,31657,17914,10627,10160,0,11385,11894,5293,9993,5225,23161,245125
"442","Kurs, konferanse",1990-04-01,10877,1127,19341,4349,8877,12038,4420,7473,18051,11336,7060,5830,0,10032,4494,2859,5868,3323,12889,150244
"443","Kurs, konferanse",1990-05-01,13108,983,17539,2741,6259,20893,5110,8455,15928,18941,6685,7628,0,5714,4832,7525,6997,4610,12663,166611
"444","Kurs, konferanse",1990-06-01,13906,1463,13390,5809,11234,12884,4641,7195,13091,17145,5031,7749,0,6092,5478,6437,9247,6660,11365,158817
"445","Kurs, konferanse",1990-07-01,4731,1229,2397,40,11992,1688,180,1339,2861,11455,2154,1400,0,1386,1181,456,4718,647,2489,52343
"446","Kurs, konferanse",1990-08-01,12087,1678,13690,3251,8474,7114,3094,7448,15512,14069,8474,7535,0,5111,5193,3235,11110,5268,16024,148367
"447","Kurs, konferanse",1990-09-01,21651,2672,31658,4929,9165,18282,9723,10362,27795,18855,9591,10220,0,8915,6356,6564,9861,6194,20386,233179
"448","Kurs, konferanse",1990-10-01,17388,2560,30213,4671,11636,20413,7630,12237,29586,22314,15123,7920,0,11297,7231,6180,11372,5316,21265,244352
"449","Kurs, konferanse",1990-11-01,17221,2458,29549,4665,13584,17845,8392,11950,34850,15953,11958,7731,0,10596,7533,5976,12889,5290,22341,240781
"450","Kurs, konferanse",1990-12-01,10082,423,9174,1157,3877,4628,2138,3831,8532,7459,3068,2944,0,4764,1761,968,3647,2816,6189,77458
"451","Kurs, konferanse",1991-01-01,15083,1839,28596,1563,7954,9336,4133,6229,26941,13422,6436,3347,0,9256,4448,2121,6029,2405,14385,163523
"452","Kurs, konferanse",1991-02-01,16400,1204,25992,3496,7529,12100,5461,11328,26729,11360,9958,6272,0,11524,6368,3931,7589,3452,15661,186354
"453","Kurs, konferanse",1991-03-01,11969,941,30209,4385,10475,12186,6258,8424,23205,13721,10058,8415,0,10963,6645,7997,7180,4499,19084,196614
"454","Kurs, konferanse",1991-04-01,18891,2879,30007,5930,12045,14215,9410,11346,30246,18758,8749,7589,0,13382,11734,6247,9488,7260,22249,240425
"455","Kurs, konferanse",1991-05-01,14141,1205,18465,4822,5872,17231,10346,7339,14512,21156,10891,6008,0,8859,7709,4652,8327,5689,13977,181201
"456","Kurs, konferanse",1991-06-01,15602,1525,15718,7232,5850,11582,7276,9552,16126,25881,14927,6072,0,7788,7715,6329,9496,5843,14975,189489
"457","Kurs, konferanse",1991-07-01,10266,95,2739,2109,6413,1871,3373,374,2883,16643,6842,2314,0,2099,1244,883,3589,796,4098,68631
"458","Kurs, konferanse",1991-08-01,13242,759,13383,3100,13096,11200,4007,3184,12576,9994,5548,4675,0,8655,3944,3913,10507,5777,12019,139579
"459","Kurs, konferanse",1991-09-01,15171,1597,31451,5335,9679,17632,9317,11102,26242,21410,12952,8533,0,15620,6251,6281,12641,4361,13418,228993
"460","Kurs, konferanse",1991-10-01,21284,2847,32791,5461,10687,21412,9396,13332,30677,21825,10452,9107,0,15550,8059,6424,11894,6445,23923,261566
"461","Kurs, konferanse",1991-11-01,20358,2955,33816,5623,10097,19016,8568,12961,32684,17703,10618,7175,0,17702,10512,7757,14701,5354,17941,255541
"462","Kurs, konferanse",1991-12-01,10761,362,9099,1261,5759,3576,2700,3451,10569,8862,4186,1235,0,4543,1768,1815,3787,1868,6243,81845
"463","Kurs, konferanse",1992-01-01,11508,1217,24207,1786,9122,11131,4753,6454,31221,14804,6633,2444,0,9563,6183,2903,7171,2055,13960,167115
"464","Kurs, konferanse",1992-02-01,13458,1416,25333,3598,6893,14430,5120,10188,22634,15810,8000,5136,0,8643,7532,3851,6278,2229,14374,174923
"465","Kurs, konferanse",1992-03-01,16926,2427,38331,6120,8969,17469,9676,15155,32833,16762,12375,8489,0,14205,8229,5931,10981,4690,20215,249783
"466","Kurs, konferanse",1992-04-01,9518,1259,20253,3740,8267,11529,6434,9797,17817,14846,7759,4037,0,8907,6008,3303,7059,3618,13934,158085
"467","Kurs, konferanse",1992-05-01,14574,2087,18825,5528,6753,19787,8233,12680,17550,19510,11072,6660,0,9780,10326,7137,9168,6669,14528,200867
"468","Kurs, konferanse",1992-06-01,14119,4151,13272,4901,8049,15198,8167,11393,15576,23761,10926,3809,0,7588,10611,5287,10020,5831,13469,186128
"469","Kurs, konferanse",1992-07-01,6032,1096,2378,2654,11469,6104,2309,2569,6451,13147,2236,1034,0,1908,1580,1171,5101,1910,7330,76479
"470","Kurs, konferanse",1992-08-01,11828,877,16024,5202,7369,8734,4730,5065,20991,21659,6589,5356,0,7153,5816,3684,9830,5665,10669,157241
"471","Kurs, konferanse",1992-09-01,20079,2326,35640,8666,8535,15887,11449,13562,25993,23464,11269,10037,0,18124,8582,5667,11891,6122,15886,253179
"472","Kurs, konferanse",1992-10-01,20354,2127,32167,6427,9065,19100,12142,14009,29973,25913,12306,6530,0,15315,10927,6059,10722,7289,20084,260509
"473","Kurs, konferanse",1992-11-01,18065,2594,29170,6088,10582,20356,10255,12793,27198,21294,11420,7058,0,14276,9378,5325,9545,4196,20472,240065
"474","Kurs, konferanse",1992-12-01,7093,623,9842,2623,5429,4777,3357,3790,8605,8857,2494,2483,0,5104,2945,1609,2859,1926,5703,80119
"475","Kurs, konferanse",1993-01-01,12039,1705,28877,3267,6929,9708,3958,4353,34508,17259,5710,2639,0,9761,6699,3489,6275,2320,14961,174457
"476","Kurs, konferanse",1993-02-01,13247,1755,26958,4711,7268,13824,5490,11024,24055,19729,8320,5000,0,8424,7810,3704,7621,2831,13767,185538
"477","Kurs, konferanse",1993-03-01,20345,1618,37383,6847,10088,18800,10684,14175,31158,22563,14395,7310,0,16707,9294,7155,10202,4714,20167,263605
"478","Kurs, konferanse",1993-04-01,11767,2449,20173,5176,5424,14376,5844,11528,17716,24192,7504,3927,0,9139,8082,5101,6778,3110,12337,174623
"479","Kurs, konferanse",1993-05-01,12372,2002,17293,4875,4124,15083,6227,9044,17108,29834,7579,5702,0,6365,8764,4055,7519,3855,12441,174242
"480","Kurs, konferanse",1993-06-01,17599,1919,14515,5179,5194,20297,4504,9382,17861,36860,14914,5459,0,12182,7309,7184,10143,7035,15836,213372
"481","Kurs, konferanse",1993-07-01,4604,118,3294,726,6506,2461,3017,856,6520,26849,1015,1840,0,704,1524,1305,4528,1242,2298,69407
"482","Kurs, konferanse",1993-08-01,13311,2184,14209,3582,2101,9849,4033,7444,15404,17707,6608,4889,0,4851,4288,5293,9994,4753,11359,141859
"483","Kurs, konferanse",1993-09-01,19908,2889,29204,6602,5366,17782,9621,14366,31530,25917,13301,7388,0,14374,10150,5817,10954,6473,15501,247143
"484","Kurs, konferanse",1993-10-01,20708,1907,28404,5075,8206,20931,10306,14387,30004,26521,13818,6415,0,16296,9682,5357,10781,5224,22261,256283
"485","Kurs, konferanse",1993-11-01,19927,5990,31837,5158,9861,20596,10034,10221,31869,25530,13649,7359,0,12464,9607,6617,9854,5640,24495,260708
"486","Kurs, konferanse",1993-12-01,8064,2147,11375,1578,3199,5714,2872,3122,12391,13562,4202,2975,0,4609,2777,1594,2873,1647,6848,91549
"487","Kurs, konferanse",1994-01-01,16795,3877,26816,1805,5713,13605,4950,5059,34734,20884,7640,2340,0,7913,5843,3530,7104,2900,17036,188544
"488","Kurs, konferanse",1994-02-01,8946,2768,15810,3156,4563,9242,4354,6398,22590,21015,5480,4022,0,6352,5679,2435,2895,1825,10733,138263
"489","Kurs, konferanse",1994-03-01,17689,4822,33031,6712,7594,15142,9623,16000,26819,19202,9113,8254,0,10719,9824,5877,9247,4422,19302,233392
"490","Kurs, konferanse",1994-04-01,19067,4957,25077,5202,8462,18356,8317,13287,25702,22471,11234,8091,0,12130,9803,6132,10348,6629,18966,234231
"491","Kurs, konferanse",1994-05-01,14527,4009,14418,4821,4266,16885,8166,10048,15096,29656,11260,5272,0,8280,9967,3557,7551,4105,13554,185438
"492","Kurs, konferanse",1994-06-01,21040,5118,17147,3390,7603,17290,6112,10214,19389,43936,13051,5248,0,8821,11090,7034,10946,5846,20989,234264
"493","Kurs, konferanse",1994-07-01,6673,2354,3915,547,5641,2161,579,2983,8155,24474,2968,1907,0,1714,890,1800,3926,441,3199,74327
"494","Kurs, konferanse",1994-08-01,13690,4841,15912,1587,4380,7138,4634,6910,15652,32837,10285,5387,0,10654,7333,6055,9225,5239,15017,176776
"495","Kurs, konferanse",1994-09-01,18112,5649,28919,5412,8035,19766,11691,12689,23447,33085,10822,9814,0,13706,8312,5927,10269,5502,23452,254609
"496","Kurs, konferanse",1994-10-01,20452,4673,31391,5718,9270,20494,8402,12782,29508,34556,9893,8421,0,14769,8449,6305,10292,5606,25310,266291
"497","Kurs, konferanse",1994-11-01,22087,6107,28444,5916,10371,16596,9168,10955,21708,30171,10817,8476,0,13003,10694,4620,9289,6087,21357,245866
"498","Kurs, konferanse",1994-12-01,7034,1747,10813,2053,3123,5779,2597,3070,10235,21527,3222,2857,0,5289,3707,1122,3127,1567,7766,96635
"499","Kurs, konferanse",1995-01-01,13507,3102,31101,2341,5080,16008,4340,6966,34521,28126,6563,1959,0,10061,7358,2626,6985,2737,14670,198051
